Title	URL	ProDisURL	ResourceType	Citation	PubDate	CollectDateStart	CollectDateEnd	Producer	Distributor	Description	DataMethodType	Longitudinal	TimeSpan	Country	GeographicRegion	AdminLevel	UnitAnalysis	Language	Themes	Subjects	Restrictions	Collection	Notes	AddedUpdated
Mapping Inequality: Redlining in New Deal America	https://dsl.richmond.edu/panorama/redlining/#loc=5/39.1/-94.58&text=downloads	https://dsl.richmond.edu/panorama/redlining/#loc=5/39.1/-94.58	Project or Pilot					Robert K Nelson, Justin Madron, Riley Champine 	University of Richmond	Maps and area descriptions used by the Home Owners Loan Corporation (HOLC) that assigned grades to residential neighborhoods that reflected their mortgage security.				United States of America	Northern America	Municipality		English	Discrimination, Racism, Socio-economic-cultural	home ownership, loans and debts, real estate, ethnic discrimination	No	AntiRacism		2023-05-08
Mapping Police Violence	https://github.com/washingtonpost/data-police-shootings	https://mappingpoliceviolence.org/	Data Journalism			2015		Washington Post		The Washington Post is compiling a database of every fatal shooting in the United States by a police officer in the line of duty since Jan. 1, 2015 including the race of the deceased, the circumstances of the shooting, whether the person was armed and whether the victim was experiencing a mental-health crisis			2015-present	United States of America	Northern America			English	Racism, Criminal Justice, Discrimination	police use of deadly force, police brutality, police training		AntiRacism		2023-05-08
Mapping Prejudice: Visualizing the hidden histories of race and privilege in the built environment	https://mappingprejudice.umn.edu/	https://mappingprejudice.umn.edu/	Project or Pilot; Dataset					John Borchert Map Library University of Minnesota		Collects and analyses covenants in several counties and states, including Minnesota, that reserved land for use by white people, encoding structural racism onto the landscape				United States of America	Northern America	County, State		English	Discrimination, Racism, Socio-economic-cultural	home ownership, loans and debts, real estate, property, mortgages, ethnic discrimination		AntiRacism	static maps made; online maps to view	2023-05-08
Migration Research Data	https://search.gesis.org?thematic_collection=Migration%20und%20Integration	https://search.gesis.org?thematic_collection=Migration%20und%20Integration	Dataset						GESIS - Leibniz Institute for the Social Sciences	Overview of migration related data available at GESIS - German Social Science Data Archive				Netherlands, Germany, France, Belgium, Austria and Sweden, European Union	Europe			English	Migration and Immigration, Opinions and Social Attitudes, Law and Policy	immigration policy, migrants, refugees, illegal immigrants, attitudes		AntiRacism		2024-04-09
Minorities at Risk (MAR) Project	http://www.mar.umd.edu/mar_data.asp	http://www.mar.umd.edu/	Dataset			1945		University of Maryland's Center for International Development and Conflict Management		Tracks 284 politically-active ethnic groups throughout the world from 1945 to the present, in all countries with a current population of at least 500,000 -- identifying where they are, what they do, and what happens to them.			1945-present	Global	All Regions	Nation		English	Discrimination, Racism	racism, ethnic groups, race relations, intolerance		AntiRacism		2023-05-08
National Crime Victimization Survey (NCVS)	https://www.bjs.gov/index.cfm?ty=dcdetail&iid=245	https://www.bjs.gov/index.cfm?ty=dcdetail&iid=245	Dataset			1973	2021	Bureau of Justice Statistics US Department of Justice		Through the National Crime Victimization Survey, BJS collects information from victims, who are asked if they think hate played a role in the crime. The Bureau of Justice Statistics' (BJS) National Crime Victimization Survey (NCVS) is the nation's primary source of information on criminal victimization. Each year, data are obtained from a nationally representative sample of about 240,000 interviews on criminal victimization, involving 160,000 unique persons in about 95,000 households. Persons are interviewed on the frequency, characteristics, and consequences of criminal victimization in the United States. The NCVS collects information on nonfatal personal crimes (i.e., rape or sexual assault, robbery, aggravated and simple assault, and personal larceny) and household property crimes (i.e., burglary/trespassing, motor vehicle theft, and other types of theft) both reported and not reported to police. Survey respondents provide information about themselves (e.g., age, sex, race and Hispanic origin, marital status, education level, and income) and whether they experienced a victimization. For each victimization incident, the NCVS collects information about the offender (e.g., age, race and Hispanic origin, sex, and victim-offender relationship), characteristics of the crime (e.g., time and place of occurrence, use of weapons, nature of injury, and economic consequences), whether the crime was reported to police, reasons the crime was or was not reported, and victim experiences with the criminal justice system.			1973-2021	United States of America	Northern America	Nation		English	Discrimination, Racism, Criminal Justice	victimization, violence, offenses, nonviolent crimes, crime rates, violent crimes		AntiRacism		2023-05-08
National Use-of-Force Data Collection	https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/home	https://www.fbi.gov/services/cjis/ucr/use-of-force	Dataset			2011		Federal Bureau of Investigation US Department of Justice		The FBI created the National Use of Force Data Collection in 2015, in partnership with law enforcement agencies, to provide nationwide statistics on law enforcement use-of-force incidents. The FBI began collecting this data from law enforcement agencies on January 1, 2019.		Yes	2011-present	United States of America	Northern America	State, Nation		English	Racism, Criminal Justice, Discrimination	police use of deadly force, police brutality, deaths, injuries	No	AntiRacism		2023-05-08
National Violent Death Reporting System (NVDRS)	https://www.cdc.gov/violenceprevention/datasources/nvdrs/index.html	https://www.cdc.gov/violenceprevention/datasources/nvdrs/index.html	Dataset			2002	2018	Centers for Disease Control and Prevention US Department of Health & Human Services		The National Violent Death Reporting System (NVDRS) links information about the 'who, when, where, and how' from data on violent deaths and provides insights about 'why' they occurred. The NVDRS can provide data on deaths resulting from 'legal interventions.' CRS IF10572		Yes	2002-present, 2018-present	United States of America	Northern America	Nation, State		English	Health, Discrimination, Racism	suicide, homicide, violent crimes, drug overdose		AntiRacism		2023-05-08
Nix The Six	https://nixthe6.org/	https://nixthe6.org/	Project or Pilot					Campaign Zero		Nix The 6 is a project of Campaign Zero, a national platform of data-driven policy solutions to end police violence in America. The project focuses on six ways police unions obstruct, delay or defeat local efforts to hold police accountable and reimagine public safety. Across the country, police unions have written contracts and laws that make it almost impossible to hold police accountable. We reviewed police union contracts in nearly 600 cities and ‘Police Bill of Rights’ laws in 21 states. Campaign Zero launched The Police Union Contract Project in 2015, the first public database of police union contracts and police bill of rights laws; documenting the ways in which these contracts and laws make it harder to hold police accountable. Since then, we’ve worked with organizers in cities across the country to re-negotiate these contracts, challenge these laws, and repeal language that blocks police from being held accountable for misconduct. #NixThe6 expands upon this work by publishing new analyses of nearly 600 cities’ police union contracts, and encouraging specific policy and legislative actions to address these issues.				United States of America	Northern America	State, Municipality		English	Racism, Criminal Justice, Discrimination	unions, police brutality, labor organizations		AntiRacism		2023-05-08
NYPD Files	https://projects.propublica.org/nypd-ccrb/	https://projects.propublica.org/nypd-ccrb/	Dataset			1985	2020	ProPublica		After New York state repealed a law that kept police disciplinary records secret, ProPublica sought records from the civilian board that investigates complaints by the public about New York City police officers. The board provided us with the closed cases of every active-duty police officer who had at least one substantiated allegation against them. The records span decades, from September 1985 to January 2020. We have created a database of complaints that can be searched by name or browsed by precinct or nature of the allegations.			1985-2020	United States of America	Northern America	Municipality		English	Racism, Criminal Justice, Discrimination	citizen grievances, police use of force, police harassment		AntiRacism		2023-05-08
